Team,GM
ATL,Onsi Saleh
BOS,Brad Stevens
BRK,Sean Marks
CHO,Jeff Peterson
CHI,Marc Eversley
CLE,Mike Gansey
DAL,Nico Harrison
DEN,Ben Tenzer
DET,Dennis Lindsey
GSW,Mike Dunleavy Jr.
HOU,Rafael Stone
IND,Chad Buchanan
LAC,Trent Redden
LAL,Rob Pelinka
MEM,Zach Kleiman
MIA,Andy Elisburg
MIL,Jon Horst
MIN,Matt Lloyd
NOP,Bryson Graham
NYK,Gersson Rosas
OKC,Sam Presti
ORL,Anthony Parker
PHI,Elton Brand
PHO,Brian Gregory
POR,Joe Cronin
SAC,Scott Perry
SAS,Brian Wright
TOR,Bobby Webster
UTA,Justin Zanik
WAS,Will Dawkins
